num_options,threshold_disapprove,threshold_approve,social_bonus_cap,num_agents,votes,util_total,util_agent
5,20,60,0,9,5.2847,0.970788158914588,"[0.7069777548886739, 0.7155896716571036, 0.7102593390841034, 0.7042119925453427, 0.7028214037375308, 0.711222033200637, 0.7090799016296562, 0.70419623724666, 0.7069877776387669]"
5,20,60,0,9,5.283,0.9712858025700091,"[0.7047811508034484, 0.7047551019809359, 0.7101878514052525, 0.7084664055001768, 0.7055834420876391, 0.7117855417709046, 0.7108481278754518, 0.7060461509579001, 0.7075502506973923]"
5,20,60,1,3,2.2169,0.9367020407566077,"[0.7783726936267441, 0.7776299624516708, 0.7818217480064946]"
5,20,60,1,3,2.2125,0.942475568244526,"[0.7798620205950895, 0.7820909480327727, 0.7890569864535651]"
5,20,60,1,4,2.7625,0.9455928219880719,"[0.7561317550227543, 0.7562464405955976, 0.7602186410334524, 0.7555866159394621]"
5,20,60,1,4,2.772,0.9501784412036844,"[0.7490812654874665, 0.7560584578087232, 0.7627033485122641, 0.76690407608003]"
5,20,60,1,5,3.3075,0.9527631154336099,"[0.7397300432740707, 0.7396840021581853, 0.7355522369289641, 0.7396547125454805, 0.7468328778728]"
5,20,60,1,5,3.3171,0.9568222673162871,"[0.7393253815088904, 0.7450090112716322, 0.7410842386933143, 0.7416680620477727, 0.7538766627544315]"
5,20,60,1,6,3.8624,0.9576453492686257,"[0.7281703494426933, 0.7258317685993949, 0.7271215251424397, 0.7330256268997114, 0.7322069200358909, 0.7357803325189712]"
5,20,60,1,6,3.8568,0.9611541890268507,"[0.7243269308294098, 0.7239139629004584, 0.7315831156440431, 0.7371537567912088, 0.736156092197964, 0.7368300179482133]"
5,20,60,1,7,4.3606,0.9613293624491988,"[0.7071125235817383, 0.7124173260538117, 0.7192756699282629, 0.7176487699815192, 0.727989298912903, 0.7283263851380609, 0.7222518268642498]"
5,20,60,1,7,4.3504,0.9627663062277115,"[0.7168915139705293, 0.7177271405279976, 0.7168614273746556, 0.7184383010926337, 0.7218532147556102, 0.7265246352028168, 0.7223503274650296]"
5,20,60,1,8,4.865,0.9631861647665113,"[0.7063203983035846, 0.7094872003878236, 0.7138130171943059, 0.70610505653698, 0.7119325894191699, 0.7168533034014013, 0.7170285396595956, 0.7120767342992008]"
5,20,60,1,8,4.8668,0.9655690367616099,"[0.6996891913021123, 0.7120830005041625, 0.7099662409301716, 0.7108851125413923, 0.7172160945502386, 0.7170600700145446, 0.7210184204313115, 0.7201744746847467]"
5,20,60,1,9,5.3782,0.9671689090160857,"[0.6923840799462969, 0.7099188705944028, 0.7030545177433283, 0.7067057834319596, 0.711905879173088, 0.7119756746727336, 0.7023950828408553, 0.7090571995790126, 0.7069904050323835]"
5,20,60,1,9,5.3899,0.9684299749394755,"[0.6982085437302262, 0.7042218793023005, 0.7078525202041659, 0.7056975067714389, 0.704965372870361, 0.7100079154802627, 0.710779191567676, 0.7105271468626524, 0.7140858486050022]"
5,20,60,2,3,2.3762,0.9160418758600288,"[0.7492505406497124, 0.7638081399821852, 0.7810594196711155]"
5,20,60,2,3,2.3763,0.9248837786057651,"[0.7444237039436005, 0.774226940464287, 0.7898633268737049]"
5,20,60,2,4,2.9784,0.9270148821197656,"[0.7192276143973544, 0.7361468962034293, 0.7533481563928163, 0.7626047962514078]"
5,20,60,2,4,2.9789,0.9361331821677986,"[0.7307925443401883, 0.741585220357536, 0.7612947251048058, 0.7702411765533577]"
5,20,60,2,5,3.5712,0.9357995956017093,"[0.7099997218046635, 0.7201775313847038, 0.7290937949879264, 0.7397773357373262, 0.7476704090561507]"
5,20,60,2,5,3.572,0.9439168682423824,"[0.7096791420084776, 0.7249993094432636, 0.7324072636837815, 0.7482380513589146, 0.7601135689310533]"
5,20,60,2,6,4.1378,0.9408256927442935,"[0.6940237094293259, 0.7047008537970938, 0.7171757211398124, 0.7262107145924643, 0.7295109177846375, 0.7392676364547727]"
5,20,60,2,6,4.1316,0.9480518954558018,"[0.6894806230819635, 0.7119647196758949, 0.7207283679900695, 0.7281714777443772, 0.7359256959455462, 0.7440981999082784]"
5,20,60,2,7,4.7034,0.9456358567220604,"[0.6827617410083877, 0.6966774324555266, 0.7020869791019542, 0.7096997582556549, 0.7164201924565836, 0.7221559044040561, 0.7369059062482489]"
