num_options,threshold_disapprove,threshold_approve,social_bonus_cap,num_agents,votes,util_total,util_agent
5,20,60,1,9,5.374,0.9676864636314726,"[0.6986312274763001, 0.7037329337094472, 0.7008779520536869, 0.7066099670366451, 0.7048559236728839, 0.7057415833235283, 0.7075198008025645, 0.711132122083381, 0.7147463251326123]"
5,20,60,2,3,2.3725,0.9148802697873237,"[0.7428791538272091, 0.761900464990055, 0.7812176768648219]"
5,20,60,2,3,2.3737,0.9264867316417768,"[0.7476479046096308, 0.7692493118173186, 0.7949491958050249]"
5,20,60,2,4,2.9746,0.926975071662349,"[0.7222620245180498, 0.7390367987032643, 0.7466815346493295, 0.7621935287539634]"
5,20,60,2,4,2.9808,0.9359432318664264,"[0.7248063514981319, 0.744177969401198, 0.7555391007072203, 0.7740923931151727]"
5,20,60,2,5,3.5622,0.9349360883705958,"[0.7057270339654498, 0.7173193998646762, 0.7289168246288954, 0.7384316662527566, 0.7513627807137504]"
5,20,60,2,5,3.5691,0.9422961930589391,"[0.7101454139083782, 0.7208494735064219, 0.7351431304111352, 0.7456696171375553, 0.7571916479479424]"
5,20,60,2,6,4.1473,0.940155544093599,"[0.694097858427432, 0.7096196274665375, 0.7167605558022709, 0.7209468220849187, 0.731875409783001, 0.7382954250870727]"
5,20,60,2,6,4.131,0.9463621271764084,"[0.6959631965561281, 0.7064723590648818, 0.7188703691760635, 0.7258834242418895, 0.7339879186600348, 0.7462034915137801]"
5,20,60,2,7,4.7008,0.9464118742188597,"[0.6879092805290011, 0.694900952812752, 0.7044906609399031, 0.7098429402950235, 0.7194186126269255, 0.7252270618350086, 0.7274238358560344]"
5,20,60,2,7,4.6992,0.9510639327523032,"[0.6788258947263149, 0.6988453420106086, 0.7071870729104538, 0.7148396254254741, 0.7218840687662335, 0.7318559668283393, 0.7403224522574581]"
5,20,60,2,8,5.2534,0.9495286243390898,"[0.6799140877570958, 0.6842182059282402, 0.6955283671597811, 0.6933265044493107, 0.7075811399157224, 0.7113042586836845, 0.7251844109613085, 0.7252247866995838]"
