num_options,threshold_disapprove,threshold_approve,social_bonus_cap,num_agents,votes,util_total,util_agent
5,20,70,1,12,5.7255,0.9588966135275324,"[0.6636587087961164, 0.6688796086542894, 0.6741933664811992, 0.6750239184004012, 0.6855562096798063, 0.6788191266126311, 0.6876810252143173, 0.6868182227803732, 0.688430842466772, 0.6837543149637171, 0.6879308605359926, 0.7014091972121163]"
5,20,70,1,12,5.698,0.9593569584794764,"[0.664032016933491, 0.6653591284771261, 0.6773073373269101, 0.6789151952448721, 0.6706706557396614, 0.6834035512752177, 0.6875630056456176, 0.6919501737164861, 0.6828148450231543, 0.6932475424252657, 0.6974781347304887, 0.6954281296758366]"
5,20,70,1,14,6.4732,0.9606019435394896,"[0.656294421470864, 0.6556384986284578, 0.6673162386686807, 0.6661388856207879, 0.6660608701688424, 0.6751318784025321, 0.6726652855581788, 0.6738452780839657, 0.6859312284419878, 0.677965697514981, 0.6813040283213624, 0.6870144199512196, 0.6862573714038515, 0.6948145626095587]"
5,20,70,1,14,6.489,0.9631042770889767,"[0.6595243853483644, 0.6631377224896069, 0.6658554958963087, 0.6682080897064426, 0.6706723241519008, 0.6774437382189765, 0.6765235383240225, 0.6784320161643154, 0.6815035895074549, 0.6788560374314101, 0.6852529808775736, 0.6859947850366197, 0.6894696112685257, 0.68811579211177]"
5,20,70,1,16,7.2657,0.9621402802904444,"[0.6534260681459624, 0.6526369985097494, 0.6616054342698874, 0.6624833397512769, 0.6584197129503828, 0.6653604080034476, 0.6678410771750911, 0.6775884066189494, 0.6702517055618376, 0.6706525561121349, 0.6720084726788635, 0.6737576092585443, 0.6756719874057164, 0.678066880396547, 0.6878797942118977, 0.6798108993244436]"
5,20,70,1,16,7.2701,0.9656305524445015,"[0.6476853049709765, 0.6564690895566216, 0.6529065624047975, 0.6658260898958437, 0.6671877319968378, 0.6644934955127173, 0.6670898338904792, 0.6707095391657875, 0.6699926078184117, 0.6738380078541789, 0.6760316850849355, 0.6807237593048537, 0.6876682357903745, 0.686944331302705, 0.6849062661177319, 0.6892867102003312]"
5,20,70,2,10,5.6758,0.9324487284142652,"[0.637288998120366, 0.6463952796555309, 0.6553260735112806, 0.662107753391969, 0.6692784796676989, 0.6789944949030295, 0.6869550147209998, 0.6916643293988483, 0.7086687877957948, 0.7246932096068893]"
5,20,70,2,10,5.6664,0.939064470335676,"[0.6387694418337998, 0.6493492800827184, 0.6493446795366075, 0.6684928747436205, 0.6732108151706222, 0.6784301586880606, 0.6883729254843677, 0.7048484561878225, 0.7207318454334031, 0.7329915450287869]"
5,20,70,2,12,6.6005,0.9356804508016943,"[0.6346040654857277, 0.6332603184725596, 0.6453765306602484, 0.648566134741722, 0.6513032641982167, 0.6588651985511138, 0.6612664436393855, 0.6733481788717458, 0.6911909944966258, 0.6906997777735385, 0.7059991501070275, 0.7130789140527044]"
5,20,70,2,12,6.5993,0.9419421474805829,"[0.6313710781483982, 0.6394786335820017, 0.648857082202516, 0.648319070522067, 0.6532566274424214, 0.6672747598968554, 0.6718767780819966, 0.6763982239169205, 0.6896701384736669, 0.6914373150801852, 0.7089478863640952, 0.7268947927413834]"
